anonymized_registration;statusCode;statusYear;admissionCode;admissionYear;affirmativePolicy;birthDate;secondarySchool;secondarySchoolGraduationYear;gender;curriculumCode;mandatoryCredits;optionalCredits;complementaryCredits;gpa;completedTerms;suspendedTerms;institutionalEnrollments;mobilityTerms;enrolledCredits;admissionGrade
275278451;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;03/02/1981;;0;Feminino;1999;114;44;52;7,52;8;0;0;0;0;578,00
008904516;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;23/01/1981;;0;Masculino;1999;114;43;52;7,77;10;0;0;0;0;575,00
737887913;GRADUADO;2004.2;VESTIBULAR;2000.2;N/A;08/11/1982;;0;Masculino;1999;114;44;52;8,15;9;0;0;0;0;571,00
167781188;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;15/08/1982;;0;Masculino;1999;114;44;52;8,51;8;0;0;0;0;561,00
247666560;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;22/09/1981;;0;Feminino;1999;114;42;52;7,60;10;0;0;0;0;569,00
371766954;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;12/08/1981;;0;Masculino;1999;114;42;52;8,46;8;0;0;0;0;569,00
241600183;GRADUADO;2003.2;VESTIBULAR;2000.2;N/A;21/09/1978;;0;Masculino;1999;116;43;52;7,40;7;0;0;0;0;567,00
192744934;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;28/01/1982;;0;Feminino;1999;114;48;52;8,33;8;0;0;0;0;559,00
279917746;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;16/11/1982;;0;Masculino;1999;114;34;52;8,67;9;0;0;0;0;707,00
017789191;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;26/10/1982;;0;Feminino;1999;114;43;52;8,34;9;0;0;0;0;693,00
950734989;GRADUADO;2008.1;VESTIBULAR;2001.1;N/A;20/07/1982;;0;Masculino;1999;114;43;52;4,62;15;0;0;0;0;680,00
181178167;GRADUADO;2004.2;VESTIBULAR;2001.1;N/A;04/09/1981;;0;Masculino;1999;114;42;52;7,74;8;0;0;0;0;664,00
080344263;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;12/10/1980;;0;Masculino;1999;117;42;52;7,82;9;0;0;0;0;664,00
175534116;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;24/06/1983;;0;Feminino;1999;114;42;52;8,27;9;0;0;0;0;662,00
333337702;GRADUADO;2006.1;VESTIBULAR;2001.1;N/A;04/11/1983;;0;Masculino;1999;114;45;52;7,92;10;1;0;0;0;657,00
252134649;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;03/07/1983;;0;Feminino;1999;114;44;52;8,50;9;0;0;0;0;656,00
217080911;GRADUADO;2006.2;VESTIBULAR;2001.1;N/A;11/03/1984;;0;Masculino;1999;114;42;52;7,31;11;1;1;0;0;650,00
206267621;GRADUADO;2007.2;VESTIBULAR;2001.1;N/A;16/10/1981;;0;Masculino;1999;114;42;52;6,62;11;3;0;0;0;647,00
161120545;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;03/03/1982;;0;Masculino;1999;114;42;52;7,85;9;0;0;0;0;644,00
184075507;GRADUADO;2004.2;VESTIBULAR;2001.1;N/A;20/08/1980;;0;Masculino;1999;114;45;52;8,01;8;0;0;0;0;638,00
023557524;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;29/03/1983;;0;Masculino;1999;114;43;52;8,26;9;0;0;0;0;637,00
582401040;GRADUADO;2005.2;VESTIBULAR;2001.1;N/A;26/05/1983;;0;Masculino;1999;114;42;52;7,33;10;0;0;0;0;636,00
744143738;CANCELAMENTO POR ABANDONO;2007.1;VESTIBULAR;2001.1;N/A;03/10/1981;;0;Masculino;1999;78;17;10;3,34;11;0;0;0;0;632,00
260877196;CANCELADO NOVO INGRESSO MESMO CURSO;2007.2;VESTIBULAR;2001.1;N/A;28/09/1981;;0;Masculino;1999;114;34;48;5,12;13;0;0;0;0;628,00
064668642;GRADUADO;2005.2;VESTIBULAR;2001.1;N/A;07/02/1983;;0;Masculino;1999;114;43;52;7,68;10;0;0;0;0;626,00
689996310;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;29/09/1982;;0;Masculino;1999;114;42;52;7,80;9;0;0;0;0;626,00
278218354;GRADUADO;2003.2;VESTIBULAR;2001.1;N/A;29/10/1981;;0;Masculino;1999;136;42;52;8,75;6;0;0;0;0;626,00
812296279;GRADUADO;2006.1;VESTIBULAR;2001.1;N/A;28/11/1982;;0;Feminino;1999;114;44;52;7,62;10;1;1;0;0;625,00
127821632;GRADUADO;2005.2;VESTIBULAR;2001.1;N/A;10/06/1981;;0;Masculino;1999;114;42;52;7,28;10;0;0;0;0;625,00
360524938;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;16/06/1982;;0;Masculino;1999;114;42;52;8,76;9;0;0;0;0;624,00
142729156;GRADUADO;2005.2;VESTIBULAR;2001.1;N/A;05/07/1981;;0;Masculino;1999;114;40;52;8,08;10;0;0;0;0;624,00
563542400;GRADUADO;2005.2;VESTIBULAR;2001.1;N/A;17/08/1983;;0;Feminino;1999;114;43;52;6,91;10;0;0;0;0;623,00
597628543;GRADUADO;2005.1;VESTIBULAR;2001.1;N/A;26/03/1980;;0;Masculino;1999;114;44;52;8,65;9;0;0;0;0;623,00
172309490;CANCELAMENTO DE MATRICULA;2008.2;VESTIBULAR;2001.1;N/A;01/10/1982;;0;Masculino;1999;64;0;4;2,32;14;0;0;0;0;623,00
104068685;GRADUADO;2006.2;VESTIBULAR;2001.2;N/A;03/01/1979;;0;Masculino;1999;114;42;52;6,84;11;0;0;0;0;616,00
323796295;GRADUADO;2006.1;VESTIBULAR;2001.2;N/A;25/08/1981;;0;Masculino;1999;114;50;52;8,05;10;0;0;0;0;612,00
154175724;GRADUADO;2005.1;VESTIBULAR;2001.2;N/A;16/08/1977;;0;Masculino;1999;114;42;52;8,16;8;0;0;0;0;611,00
320038102;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;09/06/1983;;0;Feminino;1999;114;42;52;7,11;9;0;0;0;0;609,00
703515984;GRADUADO;2006.1;VESTIBULAR;2001.2;N/A;20/08/1979;;0;Masculino;1999;114;38;52;7,87;10;0;0;0;0;609,00
367829191;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;06/11/1983;;0;Masculino;1999;114;42;52;7,36;9;0;0;0;0;608,00
422947295;GRADUADO;2004.2;VESTIBULAR;2001.2;N/A;17/11/1976;;0;Masculino;1999;114;42;52;7,87;7;0;0;0;0;607,00
675610186;GRADUADO;2006.2;VESTIBULAR;2001.2;N/A;06/11/1980;;0;Masculino;1999;114;42;52;6,31;11;0;0;0;0;607,00
128207444;CANCELADO NOVO INGRESSO MESMO CURSO;2006.1;VESTIBULAR;2001.2;N/A;27/07/1983;;0;Masculino;1999;80;8;16;5,15;9;0;0;0;0;606,00
280479556;GRADUADO;2006.1;VESTIBULAR;2001.2;N/A;13/10/1981;;0;Masculino;1999;114;44;52;7,42;10;0;0;0;0;598,00
065257639;GRADUADO;2006.1;VESTIBULAR;2001.2;N/A;27/10/1982;;0;Masculino;1999;114;46;52;7,43;10;0;0;0;0;597,00
567661991;CANCELAMENTO DE MATRICULA;2008.2;VESTIBULAR;2001.2;N/A;12/10/1980;;0;Masculino;1999;90;25;30;4,28;14;0;0;0;0;596,00
124056455;CANCELAMENTO DE MATRICULA;2009.2;VESTIBULAR;2001.2;N/A;21/03/1982;;0;Masculino;1999;104;46;42;4,88;15;0;0;0;0;595,00
715154067;GRADUADO;2006.1;VESTIBULAR;2001.2;N/A;13/06/1983;;0;Masculino;1999;114;42;52;7,56;10;0;0;0;0;595,00
805685043;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;10/09/1983;;0;Feminino;1999;114;42;52;7,92;9;0;0;0;0;592,00
210875020;GRADUADO;2005.1;VESTIBULAR;2001.2;N/A;06/03/1983;;0;Masculino;1999;114;42;52;8,79;8;0;0;0;0;592,00
924578259;CANCELADO NOVO INGRESSO MESMO CURSO;2006.2;VESTIBULAR;2001.2;N/A;16/11/1981;;0;Masculino;1999;74;12;22;3,79;10;0;0;0;0;591,00
377518786;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;31/01/1982;;0;Masculino;1999;114;42;52;7,73;9;0;1;0;0;591,00
226983601;CANCELAMENTO POR ABANDONO;2006.2;VESTIBULAR;2001.2;N/A;06/01/1982;;0;Masculino;1999;22;0;0;2,16;7;3;0;0;0;586,00
590008046;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;07/03/1983;;0;Feminino;1999;114;42;52;7,97;9;0;0;0;0;589,00
661370794;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;08/01/1983;;0;Masculino;1999;114;44;52;7,32;9;0;0;0;0;586,00
487201811;GRADUADO;2005.1;VESTIBULAR;2001.2;N/A;21/04/1980;;0;Masculino;1999;114;42;52;7,69;8;0;0;0;0;588,00
935183202;GRADUADO;2005.2;VESTIBULAR;2001.2;N/A;09/03/1983;;0;Masculino;1999;114;42;52;7,71;9;0;0;0;0;587,00
290276200;CANCELAMENTO POR ABANDONO;2006.2;VESTIBULAR;2001.2;N/A;04/09/1983;;0;Masculino;1999;8;0;2;1,20;7;0;0;0;0;586,00
129436099;GRADUADO;2008.1;VESTIBULAR;2001.2;N/A;14/05/1983;;0;Masculino;1999;116;42;52;5,87;14;0;0;0;0;589,00
098012107;GRADUADO;2005.2;VESTIBULAR;2002.1;N/A;03/01/1984;;0;Masculino;1999;114;42;52;9,18;8;0;0;0;0;736,50
186246479;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;01/06/1984;;0;Masculino;1999;114;44;52;7,60;10;0;0;0;0;723,60
650708671;GRADUADO;2007.1;VESTIBULAR;2002.1;N/A;05/08/1984;;0;Masculino;1999;114;42;52;8,58;11;0;2;0;0;692,70
900935443;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;28/07/1984;;0;Masculino;1999;114;46;52;8,44;10;0;0;0;0;676,80
864392463;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;14/05/1984;;0;Masculino;1999;114;46;52;7,95;9;0;0;0;0;663,70
081727025;CANCELADO NOVO INGRESSO MESMO CURSO;2006.1;VESTIBULAR;2002.1;N/A;29/02/1984;;0;Masculino;1999;88;8;18;5,28;8;0;0;0;0;660,80
972589337;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;27/04/1984;;0;Masculino;1999;114;42;52;8,06;9;0;0;0;0;653,20
917729712;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;31/08/1983;;0;Masculino;1999;114;44;52;7,97;9;0;0;0;0;648,20
108046389;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;13/06/1983;;0;Feminino;1999;114;49;52;7,99;9;0;0;0;0;643,60
180366313;GRADUADO;2007.1;VESTIBULAR;2002.1;N/A;22/10/1983;;0;Feminino;1999;114;42;52;6,94;11;0;0;0;0;643,10
193043544;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;31/01/1984;;0;Masculino;1999;114;50;52;7,05;10;0;0;0;0;641,70
568088710;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;13/06/1983;;0;Masculino;1999;114;42;52;7,65;9;0;0;0;0;637,80
541025980;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;20/07/1983;;0;Masculino;1999;114;42;52;8,46;9;0;0;0;0;636,80
262240900;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;20/02/1983;;0;Masculino;1999;114;43;52;7,70;9;0;0;0;0;636,60
750825231;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;31/08/1984;;0;Masculino;1999;114;44;52;7,70;9;0;0;0;0;636,10
814401684;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;07/07/1983;;0;Feminino;1999;114;42;52;7,92;9;1;0;0;0;635,60
087858497;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;10/11/1983;;0;Masculino;1999;114;44;52;8,15;9;0;0;0;0;633,10
055298590;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;06/02/1983;;0;Feminino;1999;114;42;52;8,22;9;0;0;0;0;628,00
443153738;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;27/04/1984;;0;Masculino;1999;114;42;52;7,27;9;0;0;0;0;627,30
939116957;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;28/02/1979;;0;Masculino;1999;114;42;52;7,94;9;0;0;0;0;626,30
012046258;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;07/12/1982;Somente escola privada;0;Masculino;1999;114;42;52;7,86;10;0;0;0;0;625,60
920768326;CANCELADO REPROVOU TODAS POR FALTAS;2008.2;VESTIBULAR;2002.1;N/A;10/11/1983;;0;Masculino;1999;72;0;4;2,87;13;0;0;0;0;623,30
065477195;GRADUADO;2005.2;VESTIBULAR;2002.1;N/A;15/05/1983;;0;Masculino;1999;114;42;52;8,06;8;0;0;0;0;622,00
746145964;GRADUADO;2008.1;VESTIBULAR;2002.1;N/A;10/11/1982;;0;Masculino;1999;114;45;52;5,66;13;0;0;0;0;618,50
148562293;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;20/09/1984;;0;Masculino;1999;114;44;52;7,66;10;0;0;0;0;614,70
242218010;GRADUADO;2006.1;VESTIBULAR;2002.1;N/A;30/03/1984;;0;Feminino;1999;114;42;52;7,42;9;0;0;0;0;611,50
469330292;GRADUADO;2006.2;VESTIBULAR;2002.1;N/A;12/04/1983;;0;Feminino;1999;114;44;52;7,72;10;0;0;0;0;609,10
118919533;CANCELADO REPROVOU TODAS POR FALTAS;2008.2;VESTIBULAR;2002.1;N/A;27/03/1982;;0;Masculino;1999;58;3;0;2,16;13;0;0;0;0;608,00
919106996;GRADUADO;2009.1;VESTIBULAR;2002.2;N/A;11/12/1981;;0;Masculino;1999;114;44;52;5,29;13;1;0;0;0;607,00
202676166;GRADUADO;2004.1;VESTIBULAR;2002.2;N/A;21/10/1981;;0;Masculino;1999;114;43;52;7,33;4;0;0;0;0;606,00
288160000;GRADUADO;2007.1;VESTIBULAR;2002.2;N/A;05/08/1981;;0;Masculino;1999;114;44;52;8,20;10;0;0;0;0;605,80
758605490;GRADUADO;2006.2;VESTIBULAR;2002.2;N/A;15/03/1984;;0;Masculino;1999;114;42;52;7,63;9;0;0;0;0;605,20
828938464;GRADUADO;2008.1;VESTIBULAR;2002.2;N/A;02/08/1983;;0;Masculino;1999;114;45;52;5,80;12;0;0;0;0;603,30
413445013;GRADUADO;2006.1;VESTIBULAR;2002.2;N/A;10/07/1980;;0;Masculino;1999;114;44;52;7,74;8;0;0;0;0;602,80
324561018;GRADUADO;2007.2;VESTIBULAR;2002.2;N/A;30/05/1982;;0;Masculino;1999;114;46;52;6,44;11;0;0;0;0;602,80
571900798;GRADUADO;2006.2;VESTIBULAR;2002.2;N/A;20/11/1982;;0;Feminino;1999;114;42;52;7,59;9;0;0;0;0;602,70
710318316;CANCELADO NOVO INGRESSO MESMO CURSO;2006.1;VESTIBULAR;2002.2;N/A;24/07/1982;;0;Masculino;1999;76;14;12;5,85;7;0;0;0;0;600,50
290049038;GRADUADO;2007.1;VESTIBULAR;2002.2;N/A;14/02/1986;;0;Masculino;1999;114;61;52;7,08;10;0;0;0;0;599,60
214359095;CANCELADO REPROVOU TODAS POR FALTAS;2008.2;VESTIBULAR;2002.2;N/A;14/11/1981;;0;Masculino;1999;66;2;0;2,11;11;1;0;0;0;599,10
081188339;GRADUADO;2008.1;VESTIBULAR;2002.2;N/A;15/11/1984;;0;Masculino;1999;114;44;52;6,45;12;0;0;0;0;597,70
051110416;CANCELAMENTO POR ABANDONO;2006.1;VESTIBULAR;2002.2;N/A;09/04/1983;;0;Feminino;1999;40;6;0;3,36;6;0;0;0;0;597,30
751169309;CANCELADO NOVO INGRESSO MESMO CURSO;2007.2;VESTIBULAR;2002.2;N/A;29/04/1984;;0;Masculino;1999;100;16;22;5,16;9;1;0;0;0;597,20
788791153;GRADUADO;2009.1;VESTIBULAR;2002.2;N/A;21/05/1982;;0;Masculino;1999;114;42;52;5,52;14;0;0;0;0;597,20
891765535;GRADUADO;2007.1;VESTIBULAR;2002.2;N/A;19/12/1983;;0;Feminino;1999;114;43;52;8,48;10;0;0;0;0;593,60
413855108;GRADUADO;2007.2;VESTIBULAR;2002.2;N/A;30/04/1983;;0;Feminino;1999;114;65;52;7,26;11;0;0;0;0;591,20
128398977;GRADUADO;2008.2;VESTIBULAR;2002.2;N/A;04/01/1984;;0;Masculino;1999;114;42;52;6,25;13;0;0;0;0;590,80
874658848;CANCELAMENTO POR ABANDONO;2007.2;VESTIBULAR;2002.2;N/A;23/01/1984;;0;Masculino;1999;98;20;14;4,88;9;1;0;0;0;590,70
738975397;CANCELADO REPROVOU TODAS POR FALTAS;2009.1;VESTIBULAR;2002.2;N/A;24/01/1978;;0;Masculino;1999;92;21;18;3,75;13;0;0;0;0;589,00
347075635;CANCELAMENTO POR ABANDONO;2008.1;VESTIBULAR;2002.2;N/A;18/07/1984;;0;Masculino;1999;68;15;20;4,03;10;1;0;0;0;581,50
695113991;GRADUADO;2009.2;VESTIBULAR;2002.2;N/A;06/04/1983;Somente escola privada;2001;Masculino;1999;114;50;52;5,36;15;0;0;0;0;581,00
031200675;GRADUADO;2007.1;VESTIBULAR;2002.2;N/A;18/08/1983;;0;Masculino;1999;114;42;52;6,54;10;0;0;0;0;579,70
048065373;GRADUADO;2007.2;VESTIBULAR;2002.2;N/A;25/03/1983;;0;Masculino;1999;114;50;52;6,96;11;0;0;0;0;580,00
238406173;GRADUADO;2008.2;VESTIBULAR;2002.2;N/A;08/11/1983;;0;Masculino;1999;114;43;52;5,21;13;0;0;0;0;579,00
662055356;CANCELADO NOVO INGRESSO MESMO CURSO;2008.2;VESTIBULAR;2002.2;N/A;12/12/1982;;0;Masculino;1999;92;14;20;3,87;12;0;0;0;0;578,00
910409573;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;05/08/1986;;0;Masculino;1999;114;42;52;8,48;9;0;0;0;0;712,10
435703672;GRADUADO;2006.2;VESTIBULAR;2003.1;N/A;26/05/1983;;0;Masculino;1999;114;43;52;8,24;8;0;0;0;0;705,30
657192706;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;11/03/1985;;0;Masculino;1999;114;42;52;8,07;9;0;0;0;0;690,50
915646215;CANCELAMENTO POR ABANDONO;2007.2;VESTIBULAR;2003.1;N/A;04/07/1985;;0;Feminino;1999;90;0;6;5,96;7;1;0;0;0;680,30
138974698;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;18/11/1984;;0;Masculino;1999;114;42;52;8,02;9;0;0;0;0;676,70
304395417;GRADUADO;2006.1;VESTIBULAR;2003.1;N/A;27/07/1981;;0;Feminino;1999;116;42;52;8,06;7;0;0;0;0;671,20
108233842;GRADUADO;2006.1;VESTIBULAR;2003.1;N/A;07/03/1982;;0;Masculino;1999;112;44;52;7,74;7;0;0;0;0;667,50
485195135;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;01/10/1985;;0;Feminino;1999;114;44;52;8,16;9;0;0;0;0;660,80
178961331;GRADUADO;2008.2;VESTIBULAR;2003.1;N/A;26/06/1985;;0;Feminino;1999;114;43;52;7,21;10;2;0;0;0;659,50
426408129;CANCELADO NOVO INGRESSO MESMO CURSO;2008.1;VESTIBULAR;2003.1;N/A;06/01/1985;;0;Masculino;1999;84;26;28;5,03;10;0;0;0;0;658,60
143255493;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;24/10/1984;;0;Masculino;1999;114;46;52;7,74;9;0;0;0;0;657,10
812389362;GRADUADO;2006.2;VESTIBULAR;2003.1;N/A;06/08/1985;;0;Masculino;1999;114;42;52;8,40;8;0;0;0;0;656,50
355512929;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;17/02/1984;;0;Masculino;1999;114;44;52;8,11;9;0;0;0;0;656,00
248318717;GRADUADO;2008.2;VESTIBULAR;2003.1;N/A;23/07/1985;;0;Masculino;1999;114;42;52;8,01;11;1;2;0;0;651,50
910378351;CANCELAMENTO POR ABANDONO;2007.1;VESTIBULAR;2003.1;N/A;13/12/1981;;0;Masculino;1999;98;8;38;7,24;7;1;0;0;0;646,00
379188649;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;08/02/1983;;0;Masculino;1999;114;44;52;8,10;9;0;0;0;0;645,10
539572889;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;10/06/1985;;0;Masculino;1999;114;46;52;8,31;9;0;0;0;0;644,70
887502206;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;30/09/1985;Somente escola privada;2002;Masculino;1999;114;46;52;7,78;9;0;0;0;0;642,50
321539097;GRADUADO;2007.1;VESTIBULAR;2003.1;N/A;20/04/1985;;0;Feminino;1999;114;45;52;7,74;9;0;0;0;0;638,10
973981713;GRADUADO;2007.2;VESTIBULAR;2003.1;N/A;28/10/1984;;0;Masculino;1999;114;43;52;7,73;10;0;0;0;0;636,60
817865743;GRADUADO;2010.2;VESTIBULAR;2003.1;N/A;15/04/1974;;0;Masculino;1999;115;45;52;5,29;16;0;0;0;0;636,30
